Time,Link,Title,Authors,Tickers,Strategy
" May 24, 2017, 11:11 AM ",/article/4076098-abn-amro-results-good-business-momentum-structural-upside-next-3minus-5-years,"ABN Amro Results: Good Business Momentum, Structural Upside Over The Next 3-5 Years", The First Mover,ABNRY,Long
" May 24, 2017, 10:54 AM ",/article/4076092-dominos-pizza-undervalued,Why Domino's Pizza Is Undervalued, Societe Financiers,DPZ,Long
" May 24, 2017, 10:35 AM ",/article/4076083-softbank-bought-4-billion-stake-nvidia,Why SoftBank Bought A $4-Billion Stake In Nvidia, Motek Moyen,NVDA,Long
" May 24, 2017, 10:33 AM ",/article/4076082-buckle-ride,Buckle Up For The Ride," Carlton Getz, CFA",BKE,Long
 MOC,/article/4075631-command-security-new-contracts-pave-way-increased-shareholder-value,Command Security: New Contracts Should Pave Way To Increased Shareholder Value," May 24, 2017, 10:15 AM ",Editors' Pick ,Long
" May 24, 2017, 10:14 AM ",/article/4076062-valeant-substantially-undervalued,Valeant: Substantially Undervalued, Arjan Sharma,VRX,Long
" May 24, 2017, 10:04 AM ",/article/4076072-gileads-chinese-hcv-revenues-much-expect,Gilead's Chinese HCV Revenues - How Much To Expect And When, Out of Ignorance,GILD,Long
" May 24, 2017, 10:01 AM ",/article/4076070-tech-datas-acquisition-technology-solutions-will-give-legs,Tech Data's Acquisition Of Technology Solutions Will Give It Legs, Shareholders Unite,TECD,Long
" May 24, 2017, 9:43 AM ",/article/4076061-advice-ford-go-low-tech,Advice For Ford: Go Low Tech, Anton Wahlman,F,Long
 GGDVY,/article/4075585-guangdong-investment-good-mix-defensiveness-growth,Guangdong Investment: A Good Mix Of Defensiveness And Growth," May 24, 2017, 8:54 AM ",Editors' Pick ,Long
" May 24, 2017, 8:46 AM ",/article/4076048-sophiris-bio-well-positioned-upcoming-catalysts,Sophiris Bio: Well-Positioned With Upcoming Catalysts, Research & Investment,SPHS,Long
 DEST,/article/4075581-destination-maternity-merger-spread-believe,Destination Maternity: A Merger Spread You Won't Believe," May 24, 2017, 8:37 AM ",Editors' Pick ,Long
" May 24, 2017, 8:19 AM ",/article/4076035-profire-stock-legs-trimming-position,"Profire: Stock Has Legs, But Trimming Position", D.M. Martins Research,PFIE,Long
" May 24, 2017, 8:07 AM ",/article/4076031-xinyuan-real-estate-worries-can-company,"Xinyuan Real Estate - A Few Worries, But What More Can The Company Do?", Elliott R. Morss,XIN,Long
" May 24, 2017, 7:45 AM ",/article/4076007-cash-korean-banks-upcycle-qualitative-growth,Cash In On Korean Banks' Upcycle And Qualitative Growth, Hyundai Motor Investment & Securities,KB,Long
" May 24, 2017, 7:44 AM ",/article/4076023-southwest-airlines-best-buyback-s-and-p-500,Southwest Airlines: The Best Buyback In The S&P 500, Brad Kenagy,LUV,Long
" May 24, 2017, 7:30 AM ",/article/4075938-ford-automotive-sales-loans-keep-falling,Ford - Automotive Sales And Loans Keep Falling, Leo Nelissen,F,Long
" May 24, 2017, 7:27 AM ",/article/4076011-cliffs-stock-price-searching-bottom,Cliffs Stock Price Searching For A Bottom, Pat Stout,CLF,Long
" May 24, 2017, 7:09 AM ",/article/4076004-xinyuan-1q17-results-signals-strong-year,Xinyuan 1Q17 Results And Signals Of A Strong Year, John Sheehy,XIN,Long
 MCD,/article/4075963-mcdonalds-learning-mistakes,McDonald's: Learning From Mistakes," May 24, 2017, 3:12 AM ",Editors' Pick ,Long
" May 24, 2017, 2:43 AM ",/article/4075958-wirecard-ag-makes-attractive-exposure-growth-payments-processing-space,Here's Why Wirecard AG Makes For An Attractive Exposure To Growth In The Payments Processing Space, Samuel Rae,WRCDF,Long
" May 24, 2017, 12:51 AM ",/article/4075941-apple-nokia-settle-differences,Apple And Nokia Settle Their Differences, Mark Hibben,AAPL,Long
" May 23, 2017, 8:48 PM ",/article/4075925-nike-still-best-bet-industry-attractive-entry-point,"Nike: Still The Best Bet In The Industry, At An Attractive Entry Point", Kenra Investors,NKE,Long
" May 23, 2017, 8:23 PM ",/article/4075924-keep-buying-dr-pepper-snapple-group,Keep Buying Dr Pepper Snapple Group, Societe Financiers,DPS,Long
" May 23, 2017, 7:29 PM ",/article/4075918-valero-provides-good-return-shareholders,Valero Provides A Good Return To Shareholders, Searching For Value,VLO,Long
" May 23, 2017, 6:20 PM ",/article/4075905-eaton-marking-time-preparing-revolution,Eaton: Marking Time Or Preparing A Revolution?, John Abbink,ETN,Long
" May 23, 2017, 5:53 PM ",/article/4075872-wal-mart-offer-best-value,Does Wal-Mart Offer The Best Value?, Jonathan Weber,WMT,Long
" May 23, 2017, 5:16 PM ",/article/4075870-happened-genzyme-cvr-since-august-2015,What Happened With The Genzyme CVR Since August 2015, Ruerd Heeg,GCVRZ,Long
" May 23, 2017, 5:05 PM ",/article/4075867-bank-america-declines-will-temporary,Bank Of America: These Declines Will Be Temporary, Dividend Investors,BAC,Long
" May 23, 2017, 4:54 PM ",/article/4075856-mid-con-energy-partners-opec-supply-cut-extension-alleviate-borrowing-base-uncertainty,Mid-Con Energy Partners: OPEC Supply Cut Extension Should Alleviate Borrowing Base Uncertainty, Elephant Analytics,MCEP,Long
" May 23, 2017, 4:28 PM ",/article/4075844-stormy-weather-shortsville-ahead-fleetcor-technologies-shortsellers,'Stormy Weather In Shortsville' Ahead For FleetCor Technologies Shortsellers, Theodore Walker,FLT,Long
" May 23, 2017, 4:16 PM ",/article/4075854-philip-morris-quest-smokeless-future,Philip Morris: The Quest For A Smokeless Future, Timberwolf Equity Research,PM,Long
" May 23, 2017, 4:14 PM ",/article/4075853-invitae-diagnosed-oversold,When Is Invitae Diagnosed As Oversold?, Strong Bio,NVTA,Long
 FUNC,/article/4075426-first-united-corporation-repositioning-capital-structure-regional-worth-look,"First United Corporation: After Repositioning Its Capital Structure, This Regional Is Worth A Look"," May 23, 2017, 4:11 PM ",Editors' Pick ,Long
" May 23, 2017, 3:56 PM ",/article/4075840-tractor-supply-co-excited-petsense,Why Tractor Supply Co. Is Excited About Petsense, Samuel Smith,TSCO,Long
" May 23, 2017, 3:53 PM ",/article/4075816-amc-looks-good,AMC Looks Good Here, Timothy Gornall,AMC,Long
" May 23, 2017, 3:07 PM ",/article/4075809-facebooks-foray-ad-targeting-produce-solid-new-revenue-stream,Facebook's Foray Into Ad Targeting Could Produce Solid New Revenue Stream, Gary Bourgeault,FB,Long
" May 23, 2017, 3:01 PM ",/article/4075803-vivint-solar-just-beginning,Vivint Solar: It's Just The Beginning, Celeritas Investments,VSLR,Long
" May 23, 2017, 2:54 PM ",/article/4075782-shopify-supply-shares-fall,Shopify: Supply Of Shares About To Fall, Save Money Retire Early,SHOP,Long
" May 23, 2017, 2:41 PM ",/article/4075791-valeant-valuation-check,Valeant: A Valuation Check, HealthBlogger,VRX,Long
" May 23, 2017, 2:11 PM ",/article/4075775-despite-impressive-run-6-percent-yielder-still-offers-value,"Despite An Impressive Run, This 6% Yielder Still Offers Value", Renaissance Research,SPXXF,Long
" May 23, 2017, 2:10 PM ",/article/4075774-general-electric-really-driving-decline,General Electric: What's Really Driving The Decline, Andrew McElroy,GE,Long
" May 23, 2017, 2:09 PM ",/article/4075772-baytex-energy-head-slaughter-house,Baytex Energy: Head To The Slaughter House, Long Player,BTE,Long
" May 23, 2017, 1:59 PM ",/article/4075759-stalking-facebook,Stalking Facebook, Markos Kaminis,FB,Long
" May 23, 2017, 1:54 PM ",/article/4075736-tencent-investment-recommendation,Tencent Investment Recommendation, Meng W,TCEHY,Long
" May 23, 2017, 1:49 PM ",/article/4075754-j-and-j-core-holding-pharmaceutical-space,J&J Is A Core Holding In The Pharmaceutical Space, HealthBlogger,JNJ,Long
" May 23, 2017, 1:33 PM ",/article/4075740-amd-vega-nvidia-killer,AMD: Vega Is A Nvidia Killer, Motoko Buffett,AMD,Long
" May 23, 2017, 1:25 PM ",/article/4075709-iconix-expansion-brands-slated-bring-major-second-half-growth,Iconix: Expansion Of Brands Is Slated To Bring Major Second-Half Growth, Upside Research,ICON,Long
" May 23, 2017, 1:24 PM ",/article/4075707-lockheed-martin-going-anywhere-long-know-customers,Lockheed Martin Isn't Going Anywhere - So Long As They Know Their Customers, Helena Leathers,LMT,Long
" May 23, 2017, 1:20 PM ",/article/4075705-mgm-resorts-catalysts-already-place-tell-powerful-story,MGM Resorts - Catalysts Already In Place Tell A Powerful Story, Howard Jay Klein,MGM,Long
" May 23, 2017, 1:07 PM ",/article/4075725-netease-chinese-tech-conglomerate-least-20-percent-undervalued,NetEase: This Chinese Tech Conglomerate Is At Least 20% Undervalued, Logical Tech Investor,NTES,Long
" May 23, 2017, 1:02 PM ",/article/4075714-price-retailer-antithesis-amazon,This Off-Price Retailer Is The Antithesis Of Amazon, David J. Waldron,TJX,Long
" May 23, 2017, 12:54 PM ",/article/4075708-zynga-partners-netease-china-expansion,Zynga Partners With NetEase For Its China Expansion, Motek Moyen,ZNGA,Long
" May 23, 2017, 12:49 PM ",/article/4075704-qualcomm-still-upward-potential,Qualcomm Still Has Upward Potential, Searching For Value,QCOM,Long
" May 23, 2017, 11:57 AM ",/article/4075689-gilead-great-opportunity-gilead-contrarian-investors,Gilead: A Great Opportunity In Gilead For Contrarian Investors, Michael Wiggins De Oliveira,GILD,Long
" May 23, 2017, 11:43 AM ",/article/4075671-jim-hackett-management-guru-ford-shareholders-rejoice,Jim Hackett Is A Management Guru And Ford Shareholders Should Rejoice, Cloister Research,F,Long
" May 23, 2017, 11:30 AM ",/article/4075666-viking-therapeutics-good-bad-maybe-ugly,"Viking Therapeutics: The Good, The Bad, And (Maybe) The Ugly", Life Sciences Millennial,VKTX,Long
" May 23, 2017, 10:38 AM ",/article/4075648-apple-itunes-app-store-double-sales-google-play-store,Why Apple iTunes App Store Has Double The Sales Of Google Play Store, Motek Moyen,AAPL,Long
" May 23, 2017, 9:44 AM ",/article/4075608-galectin-therapeutics-serendipity-psoriasis-strength-nash,"Galectin Therapeutics: Serendipity In Psoriasis, Strength In NASH", BioSci Capital Partners,GALT,Long
" May 23, 2017, 9:41 AM ",/article/4075604-celgene-crippled-pipeline-ms-drug-buy-dip,"Celgene - Crippled By Its Pipeline MS Drug? Or, Buy The Dip?", DoctoRx,CELG,Long
" May 23, 2017, 9:35 AM ",/article/4075597-novo-nordisk-worst,Novo Nordisk: The Worst Is Over, Daniel Schönberger,NVO,Long
" May 23, 2017, 9:23 AM ",/article/4075592-akebia-therapeutics-breaking,Akebia Therapeutics Breaking Out?, Strong Bio,AKBA,Long
" May 23, 2017, 9:10 AM ",/article/4075589-high-profile-investors-just-bought-qualcomm,These High Profile Investors Just Bought Qualcomm And You Should Too, First Floor Finance,QCOM,Long
" May 23, 2017, 9:06 AM ",/article/4075588-new-york-community-bank-get-lions-den,New York Community Bank: How To Get Out Of The Lion's Den, Stephen Rosenman,NYCB,Long
" May 23, 2017, 9:04 AM ",/article/4075580-time-throw-towel-armour,Time To Throw In The Towel On Under Armour?, Small-Cap Detective,UAA,Long
" May 23, 2017, 8:27 AM ",/article/4075577-barrons-agree-tjx-companies-ross-stores-will-thrive-amazon-world,Barron's And I Both Agree: TJX Companies And Ross Stores Will Thrive In An Amazon World, Minutemen,"TJX, ROST",Long
 SQNS,/article/4075571-sequans-opportunity-ahead,Sequans: The Opportunity Ahead," May 23, 2017, 7:56 AM ",Editors' Pick ,Long
" May 23, 2017, 7:49 AM ",/article/4075569-alliance-one-international-mispriced-opportunity,Alliance One International: Mispriced Opportunity, Reid Hudson,AOI,Long
" May 23, 2017, 7:47 AM ",/article/4075568-pretium-nearing-first-gold-pour-giant-brucejack-project,Pretium Is Nearing First Gold Pour At The Giant Brucejack Project, Fabio Herrero,PVG,Long
" CTTPY, HDUGF, EUSC",/article/4075512-marketplace-roundtable-europe-rising,Marketplace Roundtable: Europe Rising," May 23, 2017, 7:30 AM ",Editors' Pick ,Long
" May 23, 2017, 6:34 AM ",/article/4075551-first-mining-finance-offers-cheap-exposure-higher-gold-prices,First Mining Finance Offers Cheap Exposure To Higher Gold Prices, Fabio Herrero,FFMGF,Long
" May 23, 2017, 6:09 AM ",/article/4075549-tg-therapeutics-promising-ms-data,TG Therapeutics: Promising MS Data, ONeil Trader,TGTX,Long
" May 23, 2017, 5:56 AM ",/article/4075547-group-1-automotive-growth-way,Group 1 Automotive: More Growth On The Way?, Samuel Smith,GPI,Long
" May 23, 2017, 5:10 AM ",/article/4075535-positive-clinical-results-ahead-acadia-pharmaceuticals,Positive Clinical Results Ahead For Acadia Pharmaceuticals, Chris Lau,ACAD,Long
" May 23, 2017, 4:56 AM ",/article/4075522-buy-chinese-shopify-rose-200-percent-year,Buy The Chinese Shopify That Rose 200% This Year?, WappCap,BZUN,Long
" May 23, 2017, 3:38 AM ",/article/4075508-zero-moat-dying-industry-anemic-business-model-create-favorable-stock-price-new-york-and,"Zero Moat, Dying Industry And Anemic Business Model Create A Favorable Stock Price For New York & Company", ShadowStock,NWY,Long
" May 23, 2017, 12:45 AM ",/article/4075482-m-homes-solid-buy,M/I Homes Is A Solid Buy, Timothy Gornall,MHO,Long
" May 23, 2017, 12:14 AM ",/article/4075480-bankrates-changing-revenue-mix-reduces-risk,Bankrate's Changing Revenue Mix Reduces Risk, Simple Qualitative,RATE,Long
" May 22, 2017, 8:45 PM ",/article/4075471-wall-streets-forecasts-tesla-model-3-deliveries-unreasonably-low,Wall Street's Forecasts For Tesla Model 3 Deliveries Are Unreasonably Low, Trent Eady,TSLA,Long
" May 22, 2017, 7:36 PM ",/article/4075467-arconic-betting-activism,Arconic: Betting On Activism, Activist Stocks,ARNC,Long
" May 22, 2017, 5:59 PM ",/article/4075453-galaxy-resources-huge-gains-ahead-lithium-miner,Galaxy Resources: Huge Gains Ahead For This Lithium Miner, Macro Investing,GALXF,Long
" May 22, 2017, 5:19 PM ",/article/4075445-galectin-therapeutics-1-shot-get-right,Galectin Therapeutics: 1 More Shot To Get It Right?, Matthew Michniewicz,GALT,Long
 FIZZ,/article/4075438-putting-glaucus-report-rest-part-one-valuation,Putting The Glaucus Report To Rest (Part One: Valuation)," May 22, 2017, 4:47 PM ",Editors' Pick ,Long
" May 22, 2017, 4:39 PM ",/article/4075434-short-term-momentum-overshadowed-longer-term-need-revenue-streams,Short-Term Momentum Overshadowed By Longer Term Need For More Revenue Streams, Jeremy McKinzie,AAPL,Long
" May 22, 2017, 4:33 PM ",/article/4075429-check-point-best-play-cyber-security,Check Point: Best Play In Cyber Security?, RoaringInvestor,CHKP,Long
" May 22, 2017, 4:26 PM ",/article/4075428-salesforce-com-now-counts-ai,Salesforce.com Now Counts On AI, Sramana Mitra,CRM,Long
" May 22, 2017, 4:19 PM ",/article/4075422-4-reasons-amd-buy-dip,4 Reasons AMD Is A Buy On The Dip, Chris Lau,AMD,Long
" May 22, 2017, 4:03 PM ",/article/4075424-thing-apples-euro-debt,The Thing About Apple's Euro Debt, Jonathan Weber,AAPL,Long
 SWKH,/article/4075042-swk-holdings-pharmaceutical-royalty-company-49-percent-upside-book-value,SWK Holdings - A Pharmaceutical Royalty Company With 49% Upside To Book Value," May 22, 2017, 4:00 PM ",Editors' Pick ,Long
" May 22, 2017, 3:53 PM ",/article/4075412-barrick-gold-still-heading-right-direction-despite-setback,"Barrick Gold Is Still Heading In The Right Direction, Despite The Setback", Sarfaraz A. Khan,ABX,Long
" May 22, 2017, 3:51 PM ",/article/4075411-ford-shakeup-gm-stays-ahead,Ford Shakeup: GM Stays Ahead, Samuel Smith,GM,Long
" May 22, 2017, 3:15 PM ",/article/4075402-j-c-penney-buy-sell-hold,"J.C. Penney - Buy, Sell Or Hold?", Seattle Contributor,JCP,Long
" May 22, 2017, 2:59 PM ",/article/4075404-pandora-funding-boost-kkr-gives-leverage-potential-sell,Pandora: Funding Boost From KKR Gives Leverage In Potential Sell-Out, Raging Bull,P,Long
" May 22, 2017, 1:19 PM ",/article/4075362-ing-unique-combination-growth-resilient-margins-and-cost-efficiency-still-reasonably-valued,"ING: Unique Combination Of Growth, Resilient Margins & Cost-Efficiency, And Still Reasonably Valued", Renaissance Research,ING,Long
" May 22, 2017, 12:59 PM ",/article/4075350-legacy-reserves-still-cheap,Legacy Reserves: Still Cheap, Daniel Jones,LGCY,Long
" May 22, 2017, 12:45 PM ",/article/4075323-kush-bottles-stands-among-marijuana-legalization-companies,Kush Bottles Stands Out Among Marijuana Legalization Companies, Daniel Sermersheim,KSHB,Long
" May 22, 2017, 12:28 PM ",/article/4075309-serco-value-investment-opportunity-u-k,"Serco, A Value Investment Opportunity In The U.K.", Fernando Cartagena,"SECCF, SECCY",Long
" May 22, 2017, 12:17 PM ",/article/4075325-microsoft-makes-azure-affordable,Microsoft Makes Azure More Affordable, Motek Moyen,MSFT,Long
" May 22, 2017, 12:12 PM ",/article/4075322-western-asset-mortgage-get-burnt-playing-fire,Western Asset Mortgage: You Get Burnt Playing With Fire, Quad 7 Capital,WMC,Long
" May 22, 2017, 11:16 AM ",/article/4075260-hanesbrands-looks-like-value-play,Hanesbrands Looks Like A Value Play, The Clever Contrarian,HBI,Long
" May 22, 2017, 11:05 AM ",/article/4075272-tyson-foods-sale,Tyson Foods Is On Sale, Quad 7 Capital,TSN,Long
" May 22, 2017, 11:03 AM ",/article/4075268-kill-mocwenbird-trials-tribulations-ocwen-financial,To Kill A MocwenBird: The Trials And Tribulations Of Ocwen Financial, Orange Wisdom Research,OCN,Long
" May 22, 2017, 10:33 AM ",/article/4075239-acceleron-pharma-sale-25-percent-drop,Acceleron Pharma: On Sale After 25% Drop?, Bret Jensen,XLRN,Long
" May 22, 2017, 10:16 AM ",/article/4075246-hartstreet-llc-big-permian-well-result-might-cause-bullish-reversal-operator-50-percent,Hartstreet LLC: Big Permian Well Result Might Cause A Bullish Reversal In This Operator After A 50% Pullback, Michael Filloon,SM,Long
" May 22, 2017, 10:07 AM ",/article/4075242-campbells-soup-day,Campbell's: Your Soup Of The Day, Quad 7 Capital,CPB,Long
" May 22, 2017, 9:52 AM ",/article/4075232-chesapeake-may-moving-prb-monetization-upwards,Chesapeake May Be Moving PRB Monetization Upwards, Callum Turcan,CHK,Long
" May 22, 2017, 9:45 AM ",/article/4075230-activision-needs-port-pc-games-android-ios,Activision Needs To Port Its PC Games To Android And iOS, Motek Moyen,ATVI,Long
" May 22, 2017, 9:29 AM ",/article/4075221-apple-hospitality-monthly-dividends-relative-safety-great-pick,"Apple Hospitality: Monthly Dividends, Relative Safety, Great Pick", Michael Boyd,APLE,Long
" May 22, 2017, 8:43 AM ",/article/4075194-lennox-cool-19-percent-dividend-increase,Lennox: A Very Cool 19% Dividend Increase, Michael Fitzsimmons,LII,Long
" May 22, 2017, 7:57 AM ",/article/4075164-conocophillips-non-alcoholic-aa-program,ConocoPhillips' Non-Alcoholic AA Program, Callum Turcan,COP,Long
" May 22, 2017, 7:43 AM ",/article/4075155-buy-visa-growth,Buy Visa For Growth, Labutes IR,V,Long
" May 22, 2017, 7:27 AM ",/article/4075141-dean-foods-milk-money,Dean Foods - Milk Money, Wall Street for Main Street,DF,Long
" May 22, 2017, 6:17 AM ",/article/4075124-lot-like-raytheon,There Is A Lot To Like About Raytheon, Timothy Gornall,RTN,Long
" May 22, 2017, 6:13 AM ",/article/4075134-general-electric-dividend-cut-risk-concerned,General Electric: A Dividend Cut Is Not The Risk To Be Concerned About, WG Investment Research,GE,Long
" May 22, 2017, 6:04 AM ",/article/4075130-teekay-offshore-partners-shareholder-dilution-better,Teekay Offshore Partners: Shareholder Dilution Was Better Than This, Long Player,"TOO, TK",Long
" May 22, 2017, 5:45 AM ",/article/4074988-ups-shares-trading-100-matter,"UPS: Shares Trading Below $100 Is A Matter Of When, Not If", Willow Street Investments,UPS,Long
" May 22, 2017, 5:44 AM ",/article/4075118-frontier-communications-can-hear-now,Frontier Communications: Can You Hear Me Now?, Darren McCammon,FTR,Long
" May 22, 2017, 5:35 AM ",/article/4075119-fitness-industry-shows-promise-lululemon,Fitness Industry Shows Promise For Lululemon, Nicholas Klemm,LULU,Long
" May 22, 2017, 5:31 AM ",/article/4075122-signet-jewelers-another-retail-company-suffering-decline-mall-traffic,Signet Jewelers: Another Retail Company Suffering From Decline In Mall Traffic, Jozef Bystricky,SIG,Long
" May 22, 2017, 5:20 AM ",/article/4075117-chicago-bridge-and-iron-medium-high-risk-uncertainty-vs-strong-technology-execution,Chicago Bridge & Iron: Medium-High Risk And Uncertainty Vs. Strong Technology And Execution, Seeking Wisdom,CBI,Long
" May 22, 2017, 4:44 AM ",/article/4075116-universal-forest-products-post-earnings-analysis,Universal Forest Products: Post-Earnings Analysis, HF Analyst,UFPI,Long
" May 22, 2017, 3:43 AM ",/article/4075109-inogen-trading-near-52-week-high-know,Inogen Is Trading Near Its 52-Week High... Here's What You Should Know, HF Analyst,INGN,Long
" May 22, 2017, 3:38 AM ",/article/4075108-autozone-fast-becoming-one-cheapest-stocks-market,AutoZone: Fast Becoming One Of The Cheapest Stocks In The Market, Healthy Wealth Coach,AZO,Long
" May 22, 2017, 2:51 AM ",/article/4075098-teva-going,Teva: What's Going On?, GrassisGreenCap,TEVA,Long
" May 22, 2017, 1:44 AM ",/article/4075083-phenomenal-decision-chicago-bridge-and-iron,A Phenomenal Decision By Chicago Bridge & Iron, Daniel Jones,CBI,Long
 UNP,/article/4075019-union-pacific-versus-peers-still-best-breed-railroad,Union Pacific Versus Peers: Still The Best-Of-Breed Railroad?," May 21, 2017, 11:00 PM ",Editors' Pick ,Long
" May 21, 2017, 10:47 PM ",/article/4075070-will-amazon-retain-cloud-supremacy,Will Amazon Retain Its Cloud Supremacy?, Shareholders Unite,AMZN,Long
" May 21, 2017, 8:37 PM ",/article/4075063-autobytel-upside-potential,Autobytel Has Upside Potential, HF Analyst,AUTO,Long
" May 21, 2017, 4:56 PM ",/article/4075051-blackberry-rally-will-continue,BlackBerry: Why The Rally Will Continue, Kayode Omotosho,BB,Long
" May 21, 2017, 4:04 PM ",/article/4075048-google-letting-developers-block-rooted-android-devices,Why Google Is Letting Developers Block Rooted Android Devices, Motek Moyen,"GOOG, GOOGL",Long
" May 21, 2017, 12:30 PM ",/article/4075045-stay-long-adobe,Why We Should Stay Long Adobe, Motek Moyen,ADBE,Long
" May 21, 2017, 10:50 AM ",/article/4075041-hubspot-much-leader-marketing-automation-space-worth,HubSpot: How Much Is This Leader In The Marketing Automation Space Worth?, Bert Hochfeld,HUBS,Long
" May 21, 2017, 10:06 AM ",/article/4075040-cme-group-nasdaq-inc-can-win-big-blockchain,CME Group And Nasdaq Inc. Can Win Big With Blockchain, Junho Song,"CME, NDAQ",Long
" May 21, 2017, 8:25 AM ",/article/4075038-tjx-sell-provides-opportunity,The TJX Sell-Off Provides An Opportunity, Detroit Bear,TJX,Long
" May 21, 2017, 6:14 AM ",/article/4075030-grubhub-fear-competitor,GrubHub: Don't Fear This Competitor, Stone Fox Capital,GRUB,Long
" May 21, 2017, 2:23 AM ",/article/4075005-kinder-morgan-top-tier-midstream-company-growing-cash-flow,Kinder Morgan - Top Tier Midstream Company With Growing Cash Flow, The Value Portfolio,KMI,Long
" May 20, 2017, 7:49 PM ",/article/4074991-delta-air-lines-upside-potential,Delta Air Lines Has Upside Potential, HF Analyst,DAL,Long
" May 20, 2017, 7:18 PM ",/article/4074989-foot-lockers-q1-miss-reminds-2016,Foot Locker's Q1 Miss Reminds Me Of 2016, Detroit Bear,FL,Long
" May 20, 2017, 6:33 PM ",/article/4074987-brookfield-asset-management-future-looks-bright,Brookfield Asset Management - The Future Looks Bright, Charles Fournier,BAM,Long
 MLNX,/article/4074636-turbulence-creates-another-opportunity-mellanox,Turbulence Creates Another Opportunity At Mellanox," May 20, 2017, 7:35 AM ",Editors' Pick ,Long
" BBXT, FECCF, INSW",/article/4074536-pro-weekly-digest-focusing-underfollowed-companies-hidden-assets,PRO Weekly Digest: Focusing On Underfollowed Companies With Hidden Assets," May 20, 2017, 7:30 AM ",Editors' Pick ,Long
" FCAU, NXST",/article/4134649-sa-interview-understanding-power-incentives-soldier-fortune,SA Interview: Understanding The Power Of Incentives With Soldier Of Fortune," May 20, 2017, 7:30 AM ",Editors' Pick ,Long
" May 20, 2017, 4:11 AM ",/article/4074961-williams-sonoma-invest-q1-earnings,Williams-Sonoma: Should You Invest Before The Q1 Earnings?, Raffi Balyozyan,WSM,Long
" May 20, 2017, 1:55 AM ",/article/4074957-gw-pharmaceuticals-cannabis-cannabinoid,GW Pharmaceuticals - Cannabis Cannabinoid, William Sabin,GWPH,Long
" May 19, 2017, 6:14 PM ",/article/4074937-chesapeake-energy-need-know,Chesapeake Energy: What You Need To Know, Jonathan Byrne,CHK,Long
" May 19, 2017, 6:11 PM ",/article/4074941-pembina-pipeline-monthly-dividends-robust-growth-veresen-merger,Pembina Pipeline: Monthly Dividends And Robust Growth From Veresen Merger, Sure Dividend,PBA,Long
" May 19, 2017, 5:11 PM ",/article/4074904-nothing-runs-like-deere-buying-good-news,Nothing Runs Up Like Deere: Buying On The Good News, DoctoRx,DE,Long
" May 19, 2017, 4:28 PM ",/article/4074881-shopify-cheap-expensive,Shopify: Cheap Or Expensive?, Save Money Retire Early,SHOP,Long
" May 19, 2017, 4:07 PM ",/article/4074857-general-motors-america-making-great,General Motors - America Making It Great Again, David Hsu,GM,Long
" May 19, 2017, 3:23 PM ",/article/4074823-imperial-oil-levered-exposure-oil-prices-fair-price,Imperial Oil: Levered Exposure To Oil Prices At A Fair Price, David Addison,IMO,Long
" May 19, 2017, 3:21 PM ",/article/4074822-exponent-slow-steady-wins-race,Exponent: Slow And Steady Wins The Race, The Bull Case,EXPO,Long
" May 19, 2017, 3:04 PM ",/article/4074829-just-stick-altria,Just Stick With Altria, Bull's Run,MO,Long
" May 19, 2017, 2:58 PM ",/article/4074825-western-digital-will-win-shotgun-divorce-toshiba,Why Western Digital Will Win Its Shotgun Divorce With Toshiba, JP Research,WDC,Long
" May 19, 2017, 2:40 PM ",/article/4074805-3-reasons-buy-mercadolibre-now,3 Reasons Why You Should Buy MercadoLibre Now, WappCap,MELI,Long
" May 19, 2017, 2:38 PM ",/article/4074816-truecar-inc-trading-near-52-week-high-know,"TrueCar Inc. Is Trading Near 52-Week High, Here's What You Should Know", HF Analyst,TRUE,Long
" May 19, 2017, 1:35 PM ",/article/4074776-ignyta-7-oncology-concern-worth-consideration,Ignyta: $7 Oncology Concern Is Worth Consideration, Bret Jensen,RXDX,Long
" May 19, 2017, 1:29 PM ",/article/4074768-cisco-systems-better-bargain-ever,Cisco Systems: A Better Bargain Than Ever?, Sure Dividend,CSCO,Long
" May 19, 2017, 1:28 PM ",/article/4074766-boeing-delivers-737-max,Boeing Delivers 737 MAX, Dhierin Bechai,BA,Long
 UPCHY,/article/4074436-uni-president-major-f-and-b-player-china-37-percent-upside,Uni-President: Major F&B Player In China With 37% Upside," May 19, 2017, 1:25 PM ",Editors' Pick ,Long
" May 19, 2017, 1:07 PM ",/article/4074757-extreme-networks-upside-potential,Extreme Networks Has Upside Potential, HF Analyst,EXTR,Long
 CSUWF,/article/4074430-enercare-boring-business-ever-love,Enercare: The Most Boring Business You'll Ever Love," May 19, 2017, 1:05 PM ",Editors' Pick ,Long
" May 19, 2017, 1:04 PM ",/article/4074753-shake-shack-valuation-just-right,Shake Shack: Valuation Is Just Right, Michael Boyd,SHAK,Long
 GZITF,/article/4074429-yuexiu-transport-infrastructure-multiple-ways-investors-win-toll-road-operator,Yuexiu Transport Infrastructure: Multiple Ways For Investors To Win With This Toll Road Operator," May 19, 2017, 12:57 PM ",Editors' Pick ,Long
" May 19, 2017, 11:50 AM ",/article/4074721-symantec-offers-security-play-investors,Symantec Offers A Security Play For Investors, Philipe Saroyan,SYMC,Long
