,Authors,Link,Title,Strategy,Tickers,Date,Opening Price,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Performance,Article Content
1620, Bill Maurer,/article/4038634-ibm-just-sexy-enough,IBM Just Isn't Sexy Enough,Short,IBM,2017-01-23,171.029999,175.800003,175.860001,179.360001,180.259995,179.399994,180.470001,176.46000700000005,175.699997,173.770004,174.5,171.199997,171.100006,160.75,158.839996,153.029999,151.509995,152.639999,151.729996,152.410004,155.179993,154.839996,155.229996,155.580002,153.419998,153.009995,145.990005,144.669998,143.470001,142.320007,140.330002,142.509995,143.03999299999995,144.860001,144.550003,145.869995,146.660004,147.389999,146.830002,159.550003,154.360001,150.839996,148.399994,150.509995,151.979996,156.46000700000005,155.410004,153.330002,152.830002,167.190002,167.649994,167.889999,171.029999,0,
1676, Tolga Kuru,/article/4035041-macys-christmas-sale,Macy's - After Christmas Sale,Long,M,2017-01-03,35.23,30.459999,29.9,29.629999,29.52,31.790001,32.580002,32.290001000000004,33.57,30.690001,30.9,29.370001,27.93,29.639999,29.52,28.82,29.190001,28.860001,28.67,23.209999,23.41,23.6,23.860001,22.67,22.709999,22.469999,23.84,21.08,23.049999,22.690001,23.75,23.559999,20.35,19.530001,21.16,21.01,21.48,22.1,21.809999,20.889999,20.35,19.889999,21.33,18.84,18.16,19.33,20.799999,21.209999,25.799999,25.889999,25.85,26.85,35.23,1,
1691, Gary Bourgeault,/article/4053930-macys-cfo-sees-bigger-challenge-amazon-wrong,Macy's CFO Sees This As Bigger Challenge Than Amazon - Why She's Wrong,Short,M,2017-03-06,30.690001,30.9,29.370001,27.93,29.639999,29.52,28.82,29.190001,28.860001,28.67,23.209999,23.41,23.6,23.860001,22.67,22.709999,22.469999,23.84,21.08,23.049999,22.690001,23.75,23.559999,20.35,19.530001,21.16,21.01,21.48,22.1,21.809999,20.889999,20.35,19.889999,21.33,18.84,18.16,19.33,20.799999,21.209999,25.799999,25.889999,25.85,26.85,35.23,30.459999,29.9,29.629999,29.52,31.790001,32.580002,32.290001000000004,33.57,30.690001,1,
1739, Bert Hochfeld,/article/4034331-microsoft-building-dream-house-nice-level-lot,"Microsoft: Building Its Dream House On A Nice, Level Lot",Long,MSFT,2017-01-03,62.580002,62.639999,62.529999,62.959999,65.129997,63.639999,64.720001,64.489998,64.230003,64.269997,64.709999,64.93,65.099998,65.550003,65.529999,65.480003,67.529999,69.410004,68.940002,68.43,68.449997,70.410004,72.279999,69.779999,70.870003,70.529999,68.16999799999999,69.980003,73.349998,73.599998,72.699997,72.400002,73.589996,72.150002,72.83000200000002,73.610001,74.760002,75.160004,73.260002,74.610001,76.290001,77.650002,78.83000200000002,83.889999,84.470001,83.93,82.529999,83.870003,81.08000200000002,85.230003,86.379997,85.400002,62.580002,0,
1811, Electric Phred,/article/4042599-micron-analyst-day-helps-show-stock-value,Micron: Analyst Day Helps Show This Stock Is A Value,Long,MU,2017-01-30,24.18,24.34,23.9,23.77,23.76,25.709999,25.700001,26.209999,28.76,28.639999,27.639999,27.129999,26.57,28.290001,28.059999,28.83,28.059999,30.700001,31.209999,31.200001,31.200001,32.5,29.139999,30.5,31.719999,31.67,28.120001,28.59,29.24,29.559999,31.08,32.07,33.439999,35.43,34.869999,40.009998,40.959999,41.490002,41.560001,41.650002,43.25,45.599998,47.639999,48.049999,39.900002,43.009998,43.709999,42.25,22.549999,22.34,21.74,21.889999,24.18,0,
1832, The Structure Of Price,/article/4064117-micron-begins-descent,Micron Begins Its Descent,Short,MU,2017-04-17,27.129999,26.57,28.290001,28.059999,28.83,28.059999,30.700001,31.209999,31.200001,31.200001,32.5,29.139999,30.5,31.719999,31.67,28.120001,28.59,29.24,29.559999,31.08,32.07,33.439999,35.43,34.869999,40.009998,40.959999,41.490002,41.560001,41.650002,43.25,45.599998,47.639999,48.049999,39.900002,43.009998,43.709999,42.25,22.549999,22.34,21.74,21.889999,24.18,24.34,23.9,23.77,23.76,25.709999,25.700001,26.209999,28.76,28.639999,27.639999,27.129999,0,
1912, L&F Capital Management,/article/4035088-netflix-growth-story-strengthening,Netflix: The Growth Story Is Strengthening,Long,NFLX,2017-01-03,127.489998,130.949997,132.889999,137.389999,141.220001,140.970001,143.199997,142.600006,143.410004,141.940002,143.520004,145.830002,144.059998,146.919998,143.850006,147.25,143.830002,155.350006,156.380005,160.020004,157.160004,163.220001,165.059998,151.440002,153.399994,157.5,146.169998,152.669998,161.699997,187.910004,181.660004,181.330002,171.0,166.759995,167.119995,174.520004,181.740005,184.619995,178.550003,177.009995,196.869995,202.679993,192.470001,198.369995,200.130005,195.080002,194.100006,195.050003,184.039993,186.220001,190.419998,187.759995,127.489998,0,
1917, Chad Brand,/article/4038299-netflix-annual-update-stock-50-percent-clearly-overvalued,My Netflix Annual Update: The Stock Is Up 50% And Clearly Overvalued,Short,NFLX,2017-01-17,132.889999,137.389999,141.220001,140.970001,143.199997,142.600006,143.410004,141.940002,143.520004,145.830002,144.059998,146.919998,143.850006,147.25,143.830002,155.350006,156.380005,160.020004,157.160004,163.220001,165.059998,151.440002,153.399994,157.5,146.169998,152.669998,161.699997,187.910004,181.660004,181.330002,171.0,166.759995,167.119995,174.520004,181.740005,184.619995,178.550003,177.009995,196.869995,202.679993,192.470001,198.369995,200.130005,195.080002,194.100006,195.050003,184.039993,186.220001,190.419998,187.759995,127.489998,130.949997,132.889999,0,
1981, BayesianLearner,/article/4036780-nonsense-nvidia-rebuttal,No Nonsense Nvidia: A Rebuttal,Long,NVDA,2017-01-09,107.279999,101.110001,105.089996,110.019997,117.309998,108.379997,111.07,104.410004,97.669998,101.849998,109.449997,108.25,108.379997,97.769997,99.230003,102.949997,106.639999,102.769997,134.309998,138.899994,144.869995,148.009995,149.970001,157.320007,152.149994,139.330002,153.699997,164.25,166.149994,162.509995,172.350006,168.399994,159.149994,164.970001,165.910004,169.0,187.550003,171.0,179.0,185.389999,197.929993,196.619995,203.839996,209.630005,212.630005,214.080002,214.139999,186.660004,194.660004,197.899994,197.440002,102.010002,107.279999,0,
1985, TwoCentsOpinion,/article/4036132-nvidia-investors-optimistic-ai-business,Why Nvidia Investors Should Not Be Too Optimistic About Its AI Business,Short,NVDA,2017-01-09,107.279999,101.110001,105.089996,110.019997,117.309998,108.379997,111.07,104.410004,97.669998,101.849998,109.449997,108.25,108.379997,97.769997,99.230003,102.949997,106.639999,102.769997,134.309998,138.899994,144.869995,148.009995,149.970001,157.320007,152.149994,139.330002,153.699997,164.25,166.149994,162.509995,172.350006,168.399994,159.149994,164.970001,165.910004,169.0,187.550003,171.0,179.0,185.389999,197.929993,196.619995,203.839996,209.630005,212.630005,214.080002,214.139999,186.660004,194.660004,197.899994,197.440002,102.010002,107.279999,0,
2097, Nikhil Gupta,/article/4037973-qualcomm-will-cower,Qualcomm Will Not Cower,Long,QCOM,2017-01-17,64.190002,54.880001,53.610001,52.880001,54.93,56.75,56.73,56.450001,58.459999,57.810001,56.66,56.5,56.52,52.889999,52.810001,53.599998,54.619999,55.400002,59.279999,57.34,58.860001,57.490002,57.610001,56.560001,54.950001,55.639999,56.459999,53.220001,53.189999,52.700001,53.549999,51.98,51.810001,50.029999,50.57,52.25,51.619999,51.880001,52.880001,52.380001,53.389999,54.66,62.52,66.489998,66.470001,68.139999,64.559998,65.18,65.379997,64.300003,65.400002,65.650002,64.190002,1,
2099, George Kesarios,/article/4038519-qualcomm-business-model-busted,Qualcomm: The Business Model Is Busted,Short,QCOM,2017-01-17,64.190002,54.880001,53.610001,52.880001,54.93,56.75,56.73,56.450001,58.459999,57.810001,56.66,56.5,56.52,52.889999,52.810001,53.599998,54.619999,55.400002,59.279999,57.34,58.860001,57.490002,57.610001,56.560001,54.950001,55.639999,56.459999,53.220001,53.189999,52.700001,53.549999,51.98,51.810001,50.029999,50.57,52.25,51.619999,51.880001,52.880001,52.380001,53.389999,54.66,62.52,66.489998,66.470001,68.139999,64.559998,65.18,65.379997,64.300003,65.400002,65.650002,64.190002,1,
2147, Christopher De Sousa,/article/4034433-starbucks-innovate-die,Starbucks: Innovate Or Die,Long,SBUX,2017-01-03,55.349998,58.200001,58.0,57.759998,55.900002,55.73,56.110001,57.540001,56.779999,56.68,54.630001,55.810001,57.23,58.439999,57.950001,58.080002,61.110001,60.18,60.939999,60.450001,61.23,63.259998,64.269997,61.290001,60.900002,59.639999,58.25,57.810001,58.330002,58.02,53.98,55.630001,53.220001,53.150002,54.400002,55.130001,54.02,54.689999,54.950001,53.810001,55.02,54.91,54.27,55.169998,56.57,56.639999,56.810001,55.91,58.759998,59.07,58.029999,57.139999,55.349998,0,
2169, Paperon de' Paperoni,/article/4066615-starbucks-sell,Starbucks: Sell,Short,SBUX,2017-04-24,61.110001,60.18,60.939999,60.450001,61.23,63.259998,64.269997,61.290001,60.900002,59.639999,58.25,57.810001,58.330002,58.02,53.98,55.630001,53.220001,53.150002,54.400002,55.130001,54.02,54.689999,54.950001,53.810001,55.02,54.91,54.27,55.169998,56.57,56.639999,56.810001,55.91,58.759998,59.07,58.029999,57.139999,55.349998,58.200001,58.0,57.759998,55.900002,55.73,56.110001,57.540001,56.779999,56.68,54.630001,55.810001,57.23,58.439999,57.950001,58.080002,61.110001,1,
2216, Christophe Spadone,/article/4036445-sears-mighty-eddie-unleash-short-squeeze,Sears: Mighty Eddie Could Unleash A Short Squeeze,Short,SHLD,2017-01-09,9.1,8.92,9.33,6.86,6.52,6.4,8.06,8.04,7.52,9.22,9.18,9.43,11.76,11.92,13.47,12.45,10.22,10.55,8.31,7.85,7.39,6.78,7.03,6.37,7.36,9.19,7.46,9.04,8.4,8.72,8.59,8.61,8.55,8.62,7.54,7.52,7.52,7.14,7.08,7.08,5.99,6.56,5.64,5.24,4.12,4.01,3.9,3.93,4.25,3.92,3.77,9.72,9.1,0,
2217, EU Long-Term Investor,/article/4044793-sears-holdings-just-dying-retailer-misled,Sears Holdings Is Not Just A Dying Retailer - Don't Be Misled!,Long,SHLD,2017-02-06,6.52,6.4,8.06,8.04,7.52,9.22,9.18,9.43,11.76,11.92,13.47,12.45,10.22,10.55,8.31,7.85,7.39,6.78,7.03,6.37,7.36,9.19,7.46,9.04,8.4,8.72,8.59,8.61,8.55,8.62,7.54,7.52,7.52,7.14,7.08,7.08,5.99,6.56,5.64,5.24,4.12,4.01,3.9,3.93,4.25,3.92,3.77,9.72,9.1,8.92,9.33,6.86,6.52,0,
2234, Bill Maurer,/article/4051521-snap-set-ipo-trap,Snap Set-Up For IPO Trap,Short,SNAP,2017-03-02,24.48,23.77,21.09,19.93,23.83,22.35,20.969999,19.940001,21.200001,22.209999,22.459999,20.74,20.08,21.450001,20.209999,18.200001,17.879998999999994,17.290001,17.59,16.99,15.13,14.08,13.67,13.39,12.6,13.58,15.19,14.49,15.27,14.92,13.22,14.88,14.71,16.07,14.97,15.68,14.83,12.4,12.41,13.06,13.57,16.219998999999998,16.1,15.01,14.95,14.06,13.5,14.17,13.47,13.85,18.629999,18.93,24.48,1,
2235, Bader Al Hussain,/article/4054418-snap-upside-remains,Snap: More Upside Remains,Long,SNAP,2017-03-06,23.77,21.09,19.93,23.83,22.35,20.969999,19.940001,21.200001,22.209999,22.459999,20.74,20.08,21.450001,20.209999,18.200001,17.879998999999994,17.290001,17.59,16.99,15.13,14.08,13.67,13.39,12.6,13.58,15.19,14.49,15.27,14.92,13.22,14.88,14.71,16.07,14.97,15.68,14.83,12.4,12.41,13.06,13.57,16.219998999999998,16.1,15.01,14.95,14.06,13.5,14.17,13.47,13.85,18.629999,18.93,24.48,23.77,1,
2298, Alpha Investor,/article/4034962-strong-sales-growth-china-will-power-tesla-motors-higher,Strong Sales Growth In China Will Power Tesla Motors Higher,Long,TSLA,2017-01-03,216.990005,231.27999900000003,235.580002,248.919998,250.630005,257.769989,280.600006,277.390015,246.229996,251.210007,246.169998,261.920013,270.220001,298.519989,312.390015,301.440002,308.0299990000001,322.829987,307.190002,315.880005,310.350006,335.100006,347.320007,359.01001,369.799988,377.48999,352.619995,316.049988,319.570007,342.519989,323.470001,355.170013,363.799988,337.859985,345.660004,349.589996,363.690002,385.0,344.98999,341.5299990000001,342.940002,350.600006,337.019989,320.079987,302.7799990000001,315.399994,308.73999,316.809998,305.200012,328.910004,338.869995,317.290009,216.990005,0,
2304, Bill Maurer,/article/4036830-tesla-ridiculous-projections-annoy,Tesla: Ridiculous Projections Annoy Me,Short,TSLA,2017-01-09,231.27999900000003,235.580002,248.919998,250.630005,257.769989,280.600006,277.390015,246.229996,251.210007,246.169998,261.920013,270.220001,298.519989,312.390015,301.440002,308.0299990000001,322.829987,307.190002,315.880005,310.350006,335.100006,347.320007,359.01001,369.799988,377.48999,352.619995,316.049988,319.570007,342.519989,323.470001,355.170013,363.799988,337.859985,345.660004,349.589996,363.690002,385.0,344.98999,341.5299990000001,342.940002,350.600006,337.019989,320.079987,302.7799990000001,315.399994,308.73999,316.809998,305.200012,328.910004,338.869995,317.290009,216.990005,231.27999900000003,0,
2787, Long/Short Investments,/article/4034419-twitter-buyout-interest-renew-2017,Twitter Buyout Interest To Renew In 2017?,Long,TWTR,2017-01-03,16.440001000000002,17.5,16.959999,16.610001,16.940001000000002,17.93,15.81,16.42,16.059998999999998,15.56,15.21,15.09,14.99,14.84,14.36,14.4,14.71,17.540001,18.309999,19.23,18.43,18.43,18.23,17.040001,17.059998999999998,18.290001,17.65,18.08,19.940001,20.0,16.09,16.4,16.09,16.110001,16.77,16.65,17.66,17.6,16.98,17.09,17.67,18.33,17.370001000000002,21.25,19.389999,20.17,21.129999,21.82,20.4,22.049999,24.68,24.26,16.440001000000002,1,
2794, Alex Cho,/article/4044897-twitter-new-yahoo-bailout,Twitter Is The New Yahoo (So Where's The Bailout?),Short,TWTR,2017-02-06,17.93,15.81,16.42,16.059998999999998,15.56,15.21,15.09,14.99,14.84,14.36,14.4,14.71,17.540001,18.309999,19.23,18.43,18.43,18.23,17.040001,17.059998999999998,18.290001,17.65,18.08,19.940001,20.0,16.09,16.4,16.09,16.110001,16.77,16.65,17.66,17.6,16.98,17.09,17.67,18.33,17.370001000000002,21.25,19.389999,20.17,21.129999,21.82,20.4,22.049999,24.68,24.26,16.440001000000002,17.5,16.959999,16.610001,16.940001000000002,17.93,1,
2829, Starfish Investing,/article/4034452-valeant-strong-acquisition-target,Valeant Is A Strong Acquisition Target,Long,VRX,2017-01-03,15.24,15.35,15.24,13.99,13.33,14.59,14.97,16.4,16.709999,12.41,12.11,10.64,10.81,10.47,9.85,9.48,8.6,9.66,9.71,14.17,13.45,12.24,12.34,12.65,13.47,17.08,16.969998999999998,16.66,17.370001000000002,17.540001,16.459999,15.37,13.77,14.14,14.23,13.1,14.19,13.79,14.09,14.62,14.42,12.92,12.05,11.41,12.04,14.6,15.57,16.48,17.49,20.549999,21.200001,21.65,15.24,1,
2843, DoctoRx,/article/4051533-valeant-probably-worthless-risky-attractive-now,"Valeant: Probably Worthless, Or Risky But Attractive Now?",Short,VRX,2017-02-27,16.709999,12.41,12.11,10.64,10.81,10.47,9.85,9.48,8.6,9.66,9.71,14.17,13.45,12.24,12.34,12.65,13.47,17.08,16.969998999999998,16.66,17.370001000000002,17.540001,16.459999,15.37,13.77,14.14,14.23,13.1,14.19,13.79,14.09,14.62,14.42,12.92,12.05,11.41,12.04,14.6,15.57,16.48,17.49,20.549999,21.200001,21.65,15.24,15.35,15.24,13.99,13.33,14.59,14.97,16.4,16.709999,1,
2920, Alpha Investor,/article/4034709-exxon-mobil-will-break-year,Why Exxon Mobil Will Have A Break-Out Year,Long,XOM,2017-01-03,90.889999,87.040001,87.360001,84.970001,84.860001,83.309998,83.0,81.889999,81.540001,82.83000200000002,81.41999799999998,82.0,81.25,82.07,83.129997,81.58000200000002,81.110001,82.059998,82.889999,82.800003,82.290001,81.099998,80.120003,82.93,82.760002,81.239998,82.099998,80.160004,80.860001,79.870003,80.040001,80.160004,78.230003,76.379997,76.470001,77.18,79.25,80.089996,80.980003,81.629997,82.029999,82.809998,83.239998,83.540001,83.75,82.889999,80.550003,81.110001,83.57,83.029999,82.940002,83.980003,90.889999,1,
2958, D. H. Taylor,/article/4083420-exxon-mobil-stock-will-sell-due-lower-oil-prices,Exxon Mobil Stock Will Sell Off Due To Lower Oil Prices,Short,XOM,2017-06-19,82.760002,81.239998,82.099998,80.160004,80.860001,79.870003,80.040001,80.160004,78.230003,76.379997,76.470001,77.18,79.25,80.089996,80.980003,81.629997,82.029999,82.809998,83.239998,83.540001,83.75,82.889999,80.550003,81.110001,83.57,83.029999,82.940002,83.980003,90.889999,87.040001,87.360001,84.970001,84.860001,83.309998,83.0,81.889999,81.540001,82.83000200000002,81.41999799999998,82.0,81.25,82.07,83.129997,81.58000200000002,81.110001,82.059998,82.889999,82.800003,82.290001,81.099998,80.120003,82.93,82.760002,1,
