Authors,Date,Link,Tickers,Title,Strategy
 Alpha Max," Jan. 5, 2016, 1:55 PM ",/article/3791176-altera-will-boost-intels-network-function-virtualization-push,INTC,Altera Will Boost Intel's Network Function Virtualization Push,Long
" Jan. 5, 2016, 1:53 PM ", MRLN,/article/3788656-marlin-business-services-buyout-target-new-products-drive-growth,Editors' Pick ,"Marlin Business Services Is A Buyout Target, But New Products Should Drive Growth",Long
 Lou Basenese," Jan. 5, 2016, 1:31 PM ",/article/3791116-3-acquisitions-immediately-change-apples-valuation-debate,AAPL,3 Acquisitions That Would Immediately Change Apple's Valuation Debate,Long
 Terrier Investing," Jan. 5, 2016, 1:28 PM ",/article/3788636-new-improved-flir-looks-interesting-2016-beyond,FLIR,The New And Improved FLIR Looks Interesting In 2016 And Beyond,Long
" Liang Zhao, CFA"," Jan. 5, 2016, 12:44 PM ",/article/3790976-paypal-best-way-invest-growing-mobile-payments-commerce,PYPL,PayPal: The Best Way To Invest In Growing Mobile Payments And Commerce,Long
 Shudeep Chandrasekhar," Jan. 5, 2016, 12:25 PM ",/article/3791006-wal-mart-will-hold-amazon-4-reasons,WMT,Wal-Mart Will Hold Its Own Against Amazon For 4 Reasons,Long
 Khurram Rao," Jan. 5, 2016, 12:20 PM ",/article/3790876-b-e-aerospace-good-reasons-go-long,COL,B/E Aerospace - Good Reasons To Go Long,Long
 Lior Cohen," Jan. 5, 2016, 12:06 PM ",/article/3790966-will-newmont-keep-outperforming-gold,NEM,Will Newmont Keep Outperforming Gold?,Long
 The Investment Doctor," Jan. 5, 2016, 12:04 PM ",/article/3790956-banro-raises-almost-100m-mean-company-now-woods,BAA,Banro Raises Almost $100M - Does This Mean The Company Is Now Out Of The Woods?,Long
 Amit Ghate," Jan. 5, 2016, 11:59 AM ",/article/3788486-kitov-pharmaceuticals-underfollowed-gem,KTOV,Kitov Pharmaceuticals: An Underfollowed Gem,Long
 Collective Investment Co.," Jan. 5, 2016, 11:59 AM ",/article/3790916-best-buy-will-beat-market-2016,BBY,Best Buy Will Beat The Market In 2016,Long
 Adelphi Venture Capital," Jan. 5, 2016, 11:50 AM ",/article/3790756-johnson-controls-offers-potential-39-percent-return-2016,JCI,Johnson Controls Offers A Potential 39% Return In 2016,Long
 The Value Investor," Jan. 5, 2016, 11:48 AM ",/article/3790856-nautilus-looks-appealing-supported-holdings-acquisition,NLS,"Nautilus Looks Appealing, Supported By OF Holdings' Acquisition",Long
 Technology Investing," Jan. 5, 2016, 11:41 AM ",/article/3790816-can-intel-start-growing,INTC,Can Intel Start Growing Again?,Long
 Dana Blankenhorn," Jan. 5, 2016, 11:39 AM ",/article/3790706-wal-mart-mcdonalds-2016,WMT,Wal-Mart Is The McDonald's Of 2016,Long
 Philip Mause," Jan. 5, 2016, 11:32 AM ",/article/3790786-aemetis-update-new-developments-improve-outlook-target-price-now-8_52,AMTX,"Aemetis Update - New Developments Improve Outlook, And My Target Price Is Now $8.52",Long
 Alexander Valtsev," Jan. 5, 2016, 11:27 AM ",/article/3790656-take-two-interactive-gta-online-leads-digital-revolution,TTWO,Take-Two Interactive: GTA Online Leads The Digital Revolution,Long
 No Guilt," Jan. 5, 2016, 11:18 AM ",/article/3790746-armour-next-whole-foods-next-starbucks,UAA,Is Under Armour The Next Whole Foods Or The Next Starbucks?,Long
 Sam Kovacs," Jan. 5, 2016, 11:03 AM ",/article/3788296-terra-firma-beneficiary-growing-housing-starts-strong-dollar,TFCCF,"Terra Firma, The Beneficiary Of Growing Housing Starts And A Strong Dollar",Long
" Jan. 5, 2016, 10:59 AM ", EGHSF,/article/3790596-enghouse-executing-proven-acquisition-playbook,Editors' Pick ,Enghouse: Executing On A Proven Acquisition Playbook,Long
 MTF Investing," Jan. 5, 2016, 10:47 AM ",/article/3790636-frontline-short-story-arbitrage,FRO,The Frontline Short Story... Arbitrage,Long
 Stone Fox Capital," Jan. 5, 2016, 10:43 AM ",/article/3790566-imperva-weak-q1-looms-otherwise-cheap-stock,IMPV,Imperva: Weak Q1 Looms For Otherwise Cheap Stock,Long
 Dana Blankenhorn," Jan. 5, 2016, 10:35 AM ",/article/3790556-nvidia-self-driving-stock-higher-ces,NVDA,Nvidia: Self-Driving Its Stock Higher At CES,Long
 Bret Jensen," Jan. 5, 2016, 9:45 AM ",/article/3790486-big-biotech-will-outperform-market-2016,"ABBV, AMGN, BIIB",Why Big Biotech Will Outperform The Market In 2016,Long
 Daniel Sermersheim," Jan. 5, 2016, 9:34 AM ",/article/3790456-flanigans-enterprises-buy-long-term-investors,BDL,Flanigan's Enterprises Is A Buy For Long-Term Investors,Long
" Jan. 5, 2016, 9:14 AM ", CVKEY,/article/3790386-tysan-holdings-blackstone-controlled-business-50-percentminus-100-percent-upside-potential,Editors' Pick ,Tysan Holdings - Blackstone Controlled Business With 50%-100% Upside Potential Over The Next 12 Months,Long
 Alpha Gen Capital," Jan. 5, 2016, 9:07 AM ",/article/3788006-20-natural-grocers-organic-buy,NGVC,At $20 Natural Grocers Is An Organic Buy,Long
" Jan. 5, 2016, 9:04 AM ", HZN,/article/3787976-horizon-global-orphaned-value-play,Editors' Pick ,Horizon Global Is An Orphaned Value Play,Long
" Jan. 5, 2016, 9:04 AM ", TWMJF,/article/3790336-canopy-growth-corp-leads-way-towards-legalized-mj-market-canada,Editors' Pick ,Canopy Growth Corp. Leads The Way Towards The Legalized MJ Market In Canada,Long
 Growth Stock Prospector," Jan. 5, 2016, 8:14 AM ",/article/3790226-american-woodmark-corp-profit-continued-strength-american-housing,AMWD,American Woodmark Corp.: Profit From The Continued Strength In American Housing,Long
" Jan. 5, 2016, 7:30 AM ", FF,/article/3787196-futurefuel-improving-operating-environment-potential-acquisitions-bode-well-2016,Editors' Pick ,FutureFuel: An Improving Operating Environment And Potential Acquisitions Bode Well For 2016,Long
 HFIR," Jan. 5, 2016, 7:20 AM ",/article/3789846-advantage-oil-and-gas-will-thrive,AAV,Advantage Oil & Gas Will Thrive,Long
 Josh Arnold," Jan. 5, 2016, 7:07 AM ",/article/3790056-home-depot-poised-beat-2016-estimates,HD,Why Home Depot Is Poised To Beat 2016 Estimates,Long
 Terrier Investing," Jan. 5, 2016, 6:45 AM ",/article/3785026-mongolia-growth-group-bruised-broken,MNGGF,Mongolia Growth Group: Bruised Or Broken?,Long
 Albert Alfonso," Jan. 5, 2016, 6:32 AM ",/article/3789996-make-general-electrics-latest-acquisition,GE,What To Make Of General Electric's Latest Acquisition,Long
" Jan. 5, 2016, 6:30 AM ", AVAL,/article/3784986-tide-may-turn-grupo-aval-2016,Editors' Pick ,Why The Tide May Turn For Grupo Aval In 2016,Long
 Michael Fitzsimmons," Jan. 5, 2016, 6:30 AM ",/article/3785646-boardwalk-pipeline-partners-turnaround-story-buy,BWP,Boardwalk Pipeline Partners: Why This Turnaround Story Is A BUY,Long
 Adelphi Venture Capital," Jan. 5, 2016, 4:42 AM ",/article/3789796-value-sodastream-8-percent-drop,SODA,Is There Any Value In SodaStream After Its 8% Drop?,Long
 L&F Capital Management," Jan. 5, 2016, 4:03 AM ",/article/3789776-t-2016-attractive-risk-reward-profile,T,AT&T In 2016: Attractive Risk-Reward Profile,Long
 Noah Kiedrowski," Jan. 5, 2016, 3:55 AM ",/article/3789706-cvs-poised-growth-2016,CVS,CVS Poised For Growth In 2016,Long
 Fast-Tracker," Jan. 5, 2016, 3:44 AM ",/article/3789756-fran-horowitz-rescue-abercrombie-and-fitch,ANF,Fran Horowitz To The Rescue... Of Abercrombie & Fitch,Long
 Brandon Galici," Jan. 5, 2016, 3:42 AM ",/article/3789696-autonation-setting-precedent-online-auto-retail-industry,AN,AutoNation: Setting Precedent In The Online Auto Retail Industry,Long
 Adelphi Venture Capital," Jan. 5, 2016, 3:33 AM ",/article/3789736-another-year-growth-carnival,CCL,Another Year Of Growth For Carnival,Long
 Colorado Wealth Management Fund," Jan. 5, 2016, 3:30 AM ",/article/3789726-altria-group-fda-friend-industry,MO,Altria Group: The FDA Is Your Friend When You Own The Industry,Long
 Adelphi Venture Capital," Jan. 5, 2016, 3:05 AM ",/article/3789646-buy-hold-foot-locker-2020-least,FL,Buy And Hold Foot Locker Until 2020 (At Least),Long
 Bill Watts," Jan. 5, 2016, 2:30 AM ",/article/3789636-kandi-accelerating-sales-hidden-value,KNDI,Kandi: Accelerating Sales And Hidden Value,Long
 Endeavor Analytics," Jan. 5, 2016, 1:28 AM ",/article/3789516-irobot-enters-2016-strong-tailwinds,IRBT,iRobot Enters 2016 With Strong Tailwinds,Long
 The Capitalist," Jan. 5, 2016, 12:33 AM ",/article/3789506-short-term-insurance-broker-health-insurance-innovations-will-reward-shareholders-near-term,HIIQ,Short-Term Insurance Broker Health Insurance Innovations Will Reward Shareholders In The Near Term,Long
 The Investment Doctor," Jan. 4, 2016, 10:27 PM ",/article/3789356-quaker-chemical-bound-break-2016-seeing-share-price-consolidate-2015,KWR,Is Quaker Chemical Bound To Break Out In 2016 After Seeing Its Share Price Consolidate In 2015?,Long
 Callum Turcan," Jan. 4, 2016, 6:15 PM ",/article/3789286-antero-resources-tries-obtain-swan-status-ruthlessly-battered-industry,AR,Antero Resources Tries To Obtain SWAN Status In A Ruthlessly Battered Industry,Long
 The Investment Doctor," Jan. 4, 2016, 6:12 PM ",/article/3789276-blackpearl-resources-weathering-current-oil-storm,BLKPF,BlackPearl Resources Is Weathering The Current Oil Storm,Long
 Simple Investment Ideas," Jan. 4, 2016, 6:12 PM ",/article/3789216-canadian-solar-set-dominate-new-solar-landscape,CSIQ,Canadian Solar Is Set To Dominate In The New Solar Landscape,Long
 Aspire Aviation," Jan. 4, 2016, 6:11 PM ",/article/3789266-can-emirates-tie-save-malaysia-airlines,MLYAF,Can An Emirates Tie-Up Save Malaysia Airlines?,Long
 MyTradingIncome," Jan. 4, 2016, 5:13 PM ",/article/3789086-buy-fitbit-ahead-earnings,FIT,Buy Fitbit Ahead Of Earnings,Long
 L&F Capital Management," Jan. 4, 2016, 4:38 PM ",/article/3789076-netflix-create-free-tier-2016,NFLX,Netflix Should Create A Free Tier In 2016,Long
 Roald Hartvigsen," Jan. 4, 2016, 4:02 PM ",/article/3788906-time-warner-hbo-now-possible-stake-hulu-drive-growth-turner-slows,TWX,"Time Warner: HBO Now, Possible Stake In Hulu To Drive Growth As Turner Slows",Long
 Lee Taylor," Jan. 4, 2016, 3:48 PM ",/article/3788946-ovascience-2015-review-look-2016,OVAS,OvaScience 2015 Review And What To Look For In 2016,Long
" Victor Lai, CFA"," Jan. 4, 2016, 3:39 PM ",/article/3788916-lannett-standing-among-generics,LCI,Lannett - Standing Out Among Generics,Long
" Ilya Zaytsev, CFA"," Jan. 4, 2016, 3:03 PM ",/article/3788826-flex-inc-wonderful-company-fair-price,FLEX,Flex Inc.: A Wonderful Company At A Fair Price,Long
 Confero," Jan. 4, 2016, 12:54 PM ",/article/3788586-airbus-going-growth,"EADSY, EADSF",Airbus Going For Growth,Long
 Terrier Investing," Jan. 4, 2016, 12:53 PM ",/article/3788576-altera-cheap-intels-management-deserves-benefit-doubt,INTC,"Altera Wasn't Cheap, But Intel's Management Deserves Benefit Of The Doubt",Long
" Jan. 4, 2016, 12:52 PM "," ABBV, ANIP",/article/3788546-libigel-abbvies-little-secret,Editors' Pick ,Is LibiGel AbbVie's Little Secret?,Long
" Edward Vranic, CFA"," Jan. 4, 2016, 12:41 PM ",/article/3788556-former-bear-converted-market-overreaction-regarding-gopro,GPRO,A Former Bear Converted: A Market Overreaction Regarding GoPro?,Long
 Dana Blankenhorn," Jan. 4, 2016, 12:05 PM ",/article/3788416-might-win-self-driving-car-race,"GOOG, GOOGL",Who Might Win The Self-Driving Car Race?,Long
 Andrew Labutka," Jan. 4, 2016, 11:59 AM ",/article/3788446-yahoos-core-ideal-lbo-target,AABA,Yahoo's Core Is An Ideal LBO Target,Long
 Damon Verial," Jan. 4, 2016, 11:58 AM ",/article/3788476-altria-group-quality-investment,MO,Is Altria Group A Quality Investment?,Long
 MyTradingIncome," Jan. 4, 2016, 11:51 AM ",/article/3788356-3-reasons-microsoft-2016,MSFT,3 Reasons To Own Microsoft In 2016,Long
 The Investment Doctor," Jan. 4, 2016, 11:09 AM ",/article/3788326-short-interest-lindsay-remains-elevated-level-shorters-right,LNN,The Short Interest In Lindsay Remains At An Elevated Level - Are The Shorters Right?,Long
 Finding Value," Jan. 4, 2016, 10:23 AM ",/article/3788186-prairiesky-royalty-bright-future-clouds-2016,PREKF,"PrairieSky Royalty - A Bright Future, With A Few Clouds In 2016",Long
 Stone Fox Capital," Jan. 4, 2016, 9:59 AM ",/article/3788156-fireeye-acquisition-target-2016,FEYE,Is FireEye An Acquisition Target In 2016?,Long
 Sam Rystrom," Jan. 4, 2016, 9:58 AM ",/article/3788146-cvs-health-healthy-mix-strong-growth-reasonable-valuation,CVS,CVS Health- A Healthy Mix Of Strong Growth And A Reasonable Valuation,Long
 Abba's Aces," Jan. 4, 2016, 9:51 AM ",/article/3788136-skyworks-needs-work-collecting-receivables,SWKS,Skyworks Needs To Work On Collecting Its Receivables,Long
 Lester Goh," Jan. 4, 2016, 9:48 AM ",/article/3788096-platform-specialty-products-transitory-factors-and-overblown-concerns-create-incredible,PAH,Platform Specialty Products: Transitory Factors & Overblown Concerns Create Incredible Upside,Long
 WestEnd511," Jan. 4, 2016, 9:07 AM ",/article/3788016-starbucks-2016-outlook-china-food-sales-mobile-leading-way,SBUX,"Starbucks 2016 Outlook: China, Food Sales And Mobile Leading The Way",Long
 Brian Nichols," Jan. 4, 2016, 8:59 AM ",/article/3787966-xpo-logistics-tide-will-turn-point-forward,XPO,XPO Logistics: Why The Tide Will Turn From This Point Forward,Long
 T-time," Jan. 4, 2016, 8:24 AM ",/article/3787856-cost-effective-innovation-potentially-smart-timely-strategy-esperion-therapeutics,ESPR,Cost-Effective Innovation: A Potentially Smart And Timely Strategy For Esperion Therapeutics.,Long
 Josh Arnold," Jan. 4, 2016, 8:09 AM ",/article/3787726-quantifying-bank-americas-potential-higher-rates,BAC,Quantifying Bank Of America's Potential With Higher Rates,Long
" Jan. 4, 2016, 8:07 AM ", CRARY,/article/3787836-french-banks-still-undervalued-remain-good-buy,Editors' Pick ,French Banks Are Still Undervalued And Remain A Good Buy,Long
" Jan. 4, 2016, 8:00 AM ", AAPL,/article/3785376-mark-hibben-positions-2016-apple,Editors' Pick ,Mark Hibben Positions For 2016: All-In On Apple,Long
 Fun Trading," Jan. 4, 2016, 7:23 AM ",/article/3787696-seadrill-shareholders-can-reasonably-expect-2016-beyond,SDRL,Seadrill - What Shareholders Can Reasonably Expect For 2016 And Beyond,Long
" Andrew Walker, CFA"," Jan. 4, 2016, 7:15 AM ",/article/3785596-investing-edge-xpel-technologies,XPLT,Investing With An Edge: Xpel Technologies,Long
" George Atuan, CFA"," Jan. 4, 2016, 6:52 AM ",/article/3785576-latam-airlines-offers-60-percent-upside-intrinsic-value,LTM,LATAM Airlines Offers A 60% Upside To Its Intrinsic Value,Long
 Stone Fox Capital," Jan. 4, 2016, 6:48 AM ",/article/3787626-will-pilots-derail-delta-air-lines,DAL,Will The Pilots Derail Delta Air Lines?,Long
 Quad 7 Capital," Jan. 4, 2016, 3:24 AM ",/article/3787496-bank-america-2016,BAC,Bank Of America In 2016,Long
 Josh Arnold," Jan. 4, 2016, 12:01 AM ",/article/3787216-boeings-new-products-drive-margins-higher,BA,Boeing's New Products Should Drive Margins Higher,Long
 Axia Enantio," Jan. 3, 2016, 9:47 PM ",/article/3786906-navigator-holdings-grossly-misunderstood-top-contrarian-pick,NVGS,"Navigator Holdings Is Grossly Misunderstood, A Top Contrarian Pick",Long
 Technology Investing," Jan. 3, 2016, 9:17 PM ",/article/3787206-rambus-revisited-still-good-buy,RMBS,Rambus Revisited: Is It Still A Good Buy?,Long
 Bruce Burnworth," Jan. 3, 2016, 8:49 PM ",/article/3787186-intels-next-merger,INTC,Intel's Next Merger,Long
 Shudeep Chandrasekhar," Jan. 3, 2016, 7:52 PM ",/article/3787156-armour-great-buy-making,UAA,Under Armour: A Great Buy In The Making,Long
 Don Thompson," Jan. 3, 2016, 6:22 PM ",/article/3787126-amazon-make-much-profit-ok,AMZN,Amazon Doesn't Make Much Profit (And That's OK),Long
 Bert Hochfeld," Jan. 3, 2016, 5:32 PM ",/article/3787086-salesforce-com-best-large-cap-idea-2016,CRM,Salesforce.Com: My Best Large Cap Idea For 2016,Long
 Willow Street Investments," Jan. 3, 2016, 2:57 PM ",/article/3786996-baxalta-takeover-matter,SHPG,"Baxalta: A Takeover Is A Matter Of When, Not If",Long
 WestEnd511," Jan. 3, 2016, 10:58 AM ",/article/3786926-alibaba-2016-outlook-world-enough,BABA,Alibaba 2016 Outlook: The World Is Not Enough,Long
 Aurelien Windenberger," Jan. 3, 2016, 7:45 AM ",/article/3786846-sunedisons-recent-debt-exchange-may-beneficial-company-suggested-analysts,SUNEQ,SunEdison's Recent Debt Exchange May Be More Beneficial To The Company Than Suggested By Analysts,Long
 Fun Trading," Jan. 3, 2016, 6:20 AM ",/article/3786756-transocean-shareholders-can-reasonably-expect-2016-beyond,RIG,Transocean - What Shareholders Can Reasonably Expect For 2016 And Beyond,Long
 Orange Peel Investments," Jan. 3, 2016, 6:16 AM ",/article/3786746-whole-foods-buyout-case-table-still-bullish,AMZN,"Whole Foods Buyout Case Off The Table, But We're Still Bullish",Long
 Brandon Dempster," Jan. 3, 2016, 5:15 AM ",/article/3786726-union-pacific-expect-turnaround-2016,UNP,Union Pacific: Don't Expect A Turnaround In 2016,Long
 Harm Elderman," Jan. 3, 2016, 4:02 AM ",/article/3786666-margins-rise-will-symantec-able-reel-back-investors,SYMC,"With Margins On The Rise, Will Symantec Be Able To Reel Back Investors?",Long
 Iron Head Holdings," Jan. 3, 2016, 3:47 AM ",/article/3786656-new-gm-emerged,GM,New GM Has Emerged,Long
 Michael Boyd," Jan. 3, 2016, 3:32 AM ",/article/3786626-coca-cola-vs-pepsi-better-choice-investors,"KO, PEP",Coca-Cola Vs. Pepsi: Which Is The Better Choice For Investors?,Long
 Aaron Zimmerman," Jan. 3, 2016, 2:46 AM ",/article/3786566-target-domestic-retailer-upside-management-can-execute,TGT,Target: A Domestic Retailer With Upside If Management Can Execute,Long
 The Value Portfolio," Jan. 3, 2016, 1:27 AM ",/article/3786506-value-portfolio-chevron-top-oil-pick-next-5-years,CVX,The Value Portfolio - Chevron Is My Top Oil Pick For The Next 5 Years,Long
 Jesse Moore," Jan. 2, 2016, 2:54 PM ",/article/3786356-cheniere-energy-turns-sabine-pass-investors-hold-breath,LNG,"As Cheniere Energy Turns On Sabine Pass, Investors Hold Their Breath",Long
 The Investment Doctor," Jan. 2, 2016, 2:27 PM ",/article/3786346-newmont-mining-number-one-senior-gold-pick-2016,NEM,Why Newmont Mining Is My Number One Senior Gold Pick For 2016,Long
" Jan. 2, 2016, 12:21 PM ", AMD,/article/3786306-amd-evaluating-problems-risks,Editors' Pick ,AMD: Evaluating The Problems And Risks,Long
 Alex Pitti," Jan. 2, 2016, 11:57 AM ",/article/3786266-twitter-2016-everything-need-know-periscope,TWTR,Twitter In 2016: Everything You Need To Know About Periscope,Long
" Jan. 2, 2016, 11:03 AM ", HBAYF,/article/3727466-hudsons-bay-proven-real-estate-value-plus-solid-retail-operations-trading-50-percent-nav,Editors' Pick ,Hudson's Bay: Proven Real Estate Value Plus Solid Retail Operations Trading At 50% Of NAV,Long
 Plain Vanilla Research," Jan. 2, 2016, 9:34 AM ",/article/3786226-darden-restaurants-success-recipe,DRI,Darden Restaurants' Success Recipe,Long
 Achilles Research," Jan. 2, 2016, 5:17 AM ",/article/3786206-general-electric-momentum-stay,GE,General Electric: Is Momentum Here To Stay?,Long
 Entertainment Insight," Jan. 1, 2016, 3:42 PM ",/article/3786106-esports-part-activision-blizzard-ecosystem,ATVI,eSports As A Part Of Activision Blizzard Ecosystem,Long
 Joe Springer," Jan. 1, 2016, 12:37 PM ",/article/3724406-michaels-approach-double-dividend-catalyst,MIK,Michaels Could Approach A Double On Dividend Catalyst,Long
 MnMInvestor," Jan. 1, 2016, 10:56 AM ",/article/3727446-kohls-discount-retailer-poised-deliver-2016,KSS,Kohl's - The Discount Retailer Is Poised To Deliver In 2016,Long
 SomaBull," Jan. 1, 2016, 10:27 AM ",/article/3785036-primero-mining-finally-getting-hump,PPP,Primero Mining Is Finally Getting Over The Hump,Long
 Eric Butz," Jan. 1, 2016, 9:32 AM ",/article/3727246-autonation-stable-growing-retailer-portfolio,AN,"AutoNation: A Stable, Growing Retailer For Your Portfolio",Long
 Somint Research," Jan. 1, 2016, 8:55 AM ",/article/3727146-nike-cheapest-best-brand,NKE,Nike: The Cheapest And Best Brand To Own,Long
 Vince Martin," Jan. 1, 2016, 8:29 AM ",/article/3784866-tropicana-entertainment-hidden-risky-cheap,TPCA,"Tropicana Entertainment: Hidden, Risky, And Cheap",Long
 Russell Naisbitt," Jan. 1, 2016, 8:15 AM ",/article/3726996-j-c-penney-turnaround-intact-numerous-growth-catalysts-make-1_2b-ebitda-goal-attainable,JCP,J.C. Penney Turnaround Intact: Numerous Growth Catalysts Make $1.2B EBITDA Goal Attainable,Long
" Jan. 1, 2016, 8:06 AM ", RMR,/article/3784816-long-rmr-group-based-sum-parts,Editors' Pick ,Long RMR Group Based On Sum Of The Parts,Long
 James Brender," Jan. 1, 2016, 7:52 AM ",/article/3726976-burlington-stores-shares-selling-bigger-discount-merchandise,BURL,Burlington Stores Shares Are Selling At A Bigger Discount Than Some Of Its Merchandise,Long
" Jan. 1, 2016, 7:45 AM ", ATRO,/article/3784806-lack-catalysts-holding-astronics-back,Editors' Pick ,Lack Of Catalysts Holding Astronics Back,Long
 Alhambra Investment Partners," Jan. 1, 2016, 7:15 AM ",/article/3725906-big-upside-big-lots-shareholders,BIG,Big Upside For Big Lots Shareholders,Long
 Bryson Kacha," Jan. 1, 2016, 6:30 AM ",/article/3725896-genuine-parts-company-boring-great,GPC,Genuine Parts Company: Why Boring Is Great,Long
 Shock Exchange," Jan. 1, 2016, 5:44 AM ",/article/3785986-blackberry-now-software-company-john-chen-envisioned,BB,BlackBerry Is Now The Software Company John Chen Envisioned,Long
 Mingran Wang," Jan. 1, 2016, 1:20 AM ",/article/3785826-berkshire-hathaway-valuation-important,"BRK.B, BRK.A",Berkshire Hathaway: Why Valuation Is Not That Important Here,Long
 Michael Boyd," Jan. 1, 2016, 12:23 AM ",/article/3785806-dwarfs-dow-part-v-american-express,AXP,Dwarfs Of The Dow Part V: American Express,Long
 Jerome Lam," Dec. 31, 2015, 7:25 PM ",/article/3785746-cgn-minings-investment-fission-uranium-escalates-buyout-opportunity,FCUUF,CGN Mining's Investment In Fission Uranium Escalates A Buyout Opportunity,Long
 WestEnd511," Dec. 31, 2015, 6:51 PM ",/article/3785726-facebook-2016-outlook-messenger-virtual-reality-key-catalysts,FB,Facebook: 2016 Outlook - Messenger And Virtual Reality The Key Catalysts,Long
 Crunching Numbers," Dec. 31, 2015, 6:46 PM ",/article/3785716-sirius-xm-investors-can-learn-liberty-red-herring,SIRI,What Sirius XM Investors Can Learn From The Liberty Red Herring,Long
" William Koldus, CFA, CAIA"," Dec. 31, 2015, 5:35 PM ",/article/3721946-ralph-lauren-corporation-iconic-brand-sale,RL,Ralph Lauren Corporation - An Iconic Brand On Sale,Long
 Alpha Gen Capital," Dec. 31, 2015, 4:39 PM ",/article/3784016-rubicon-project-gem-mispriced-ad-tech-space,RUBI,The Rubicon Project: A Gem Mispriced In The Ad-Tech Space,Long
 Detroit Bear," Dec. 31, 2015, 4:17 PM ",/article/3783956-morningstar-cannibal-cash-machine,MORN,Morningstar: A Cannibal Cash Machine,Long
 Timberwolf Equity Research," Dec. 31, 2015, 4:05 PM ",/article/3783886-rogers-sugar-sweet-dividend,RSGUF,Rogers Sugar: A Very Sweet Dividend,Long
 Anthony Fernandez," Dec. 31, 2015, 3:33 PM ",/article/3785516-best-buy-room-grow,BBY,Best Buy Has Room To Grow,Long
 Value On The Street," Dec. 31, 2015, 3:18 PM ",/article/3785476-citigroups-dividend-holding-back-shares,C,Citigroup's Dividend Is Holding Back Shares,Long
 The Investment Strategist," Dec. 31, 2015, 3:10 PM ",/article/3724906-select-comfort-invest-sleep-well-night-literally,SNBR,"Select Comfort: Invest And Sleep Well At Night, Literally",Long
" Dec. 31, 2015, 2:54 PM ", BH,/article/3721336-biglari-holdings-things-change,Editors' Pick ,Biglari Holdings: Some Things Do Change,Long
 Magic Investments," Dec. 31, 2015, 2:01 PM ",/article/3721156-buckle-time-pick-favor-retailer,BKE,The Buckle: Time To Pick Up This Out Of Favor Retailer,Long
 Alpha Gen Capital," Dec. 31, 2015, 1:59 PM ",/article/3783616-rovi-corp-continues-renew-market-believe,ROVI,Rovi Corp. Continues To Renew And The Market Doesn't Believe Them,Long
 Aurelien Windenberger," Dec. 31, 2015, 1:09 PM ",/article/3724566-shake-shack-next-chipotle-reasonably-priced-outperforming-projections,SHAK,Shake Shack: The Next Chipotle Is Reasonably Priced And Outperforming Projections,Long
 Jim Wallingford," Dec. 31, 2015, 12:55 PM ",/article/3724456-hibbett-sports-born-small-town,HIBB,Hibbett Sports: Born In A Small Town,Long
 The Investment Doctor," Dec. 31, 2015, 12:40 PM ",/article/3785326-barrick-gold-cleaning-balance-sheet-will-still-3b-hard-cash,ABX,Barrick Gold Is Cleaning Up Its Balance Sheet And Will Still Have $3B In Hard Cash,Long
 Fun Trading," Dec. 31, 2015, 12:35 PM ",/article/3785296-ocean-rig-udw-shareholders-can-reasonably-expect-will-tough-coming-year,ORIG,Ocean Rig UDW - What Shareholders Can Reasonably Expect In What Will Be A Tough Coming Year?,Long
 Stone Fox Capital," Dec. 31, 2015, 12:16 PM ",/article/3785256-3d-systems-disrupting-momentum,DDD,3D Systems: Disrupting Momentum,Long
" Dec. 31, 2015, 11:50 AM ", GILD,/article/3785226-reviewing-gileads-latest-pipeline-news-focus-oncology-galapagos-deal,Editors' Pick ,Reviewing Gilead's Latest Pipeline News: Focus On Oncology And The Galapagos Deal,Long
 Harm Elderman," Dec. 31, 2015, 11:35 AM ",/article/3785206-value-power-steering-market-taking-look-china,CAAS,Is There Value In The Power Steering Market? Taking A Look At China.,Long
 Justin Hess," Dec. 31, 2015, 11:32 AM ",/article/3783216-comscore-digital-analytics-top-pick,SCOR,ComScore: Digital Analytics Top Pick,Long
 Long Player," Dec. 31, 2015, 11:15 AM ",/article/3785156-marathon-oil-clearly-benefiting-split,MRO,Marathon Oil Is Clearly Benefiting From The Split,Long
 Anthony Ruben," Dec. 31, 2015, 10:53 AM ",/article/3785096-general-electric-acquire-metem-small-significant-transaction,GE,"General Electric To Acquire Metem In A Small, But Significant Transaction",Long
 Jenks Jumps," Dec. 31, 2015, 10:51 AM ",/article/3785076-harley-davidson-polaris-checking-brand-allegiance-stock-performance,HOG,Harley-Davidson And Polaris: Checking In On Brand Allegiance And Stock Performance,Long
 Brian Nichols," Dec. 31, 2015, 10:43 AM ",/article/3785056-fireeye-palo-alto-networks-stock-best-2016,"FEYE, PANW",FireEye Or Palo Alto Networks: Which Stock Is Best For 2016?,Long
" William Koldus, CFA, CAIA"," Dec. 31, 2015, 9:46 AM ",/article/3784976-wynn-resorts-cheap-ignore,WYNN,Wynn Resorts - Too Cheap To Ignore,Long
 Long Player," Dec. 31, 2015, 9:46 AM ",/article/3784966-can-granite-oil-maintain-twice-raised-dividend-oil-prices-keep-dropping,GXOCF,Can Granite Oil Maintain That Twice Raised Dividend As Oil Prices Keep Dropping?,Long
